,date_time,intensity_forecast,intensity_actual
0,2018-01-01T0015,154,157
1,2018-01-01T0045,159,164
2,2018-01-01T0115,169,171
3,2018-01-01T0145,170,172
4,2018-01-01T0215,165,172
5,2018-01-01T0245,159,170
6,2018-01-01T0315,153,172
7,2018-01-01T0345,140,166
8,2018-01-01T0415,130,157
9,2018-01-01T0445,120,154
10,2018-01-01T0515,113,159
11,2018-01-01T0545,109,161
12,2018-01-01T0615,105,176
13,2018-01-01T0645,106,181
14,2018-01-01T0715,106,178
15,2018-01-01T0745,107,178
16,2018-01-01T0815,107,182
17,2018-01-01T0845,122,192
18,2018-01-01T0915,131,197
19,2018-01-01T0945,139,208
20,2018-01-01T1015,148,210
21,2018-01-01T1045,160,220
22,2018-01-01T1115,171,229
23,2018-01-01T1145,186,232
24,2018-01-01T1215,202,234
25,2018-01-01T1245,214,238
26,2018-01-01T1315,229,242
27,2018-01-01T1345,233,248
28,2018-01-01T1415,236,252
29,2018-01-01T1445,240,261
30,2018-01-01T1515,241,259
31,2018-01-01T1545,238,259
32,2018-01-01T1615,253,257
33,2018-01-01T1645,255,259
34,2018-01-01T1715,255,252
35,2018-01-01T1745,257,252
36,2018-01-01T1815,253,249
37,2018-01-01T1845,245,248
38,2018-01-01T1915,233,243
39,2018-01-01T1945,225,227
40,2018-01-01T2015,214,215
41,2018-01-01T2045,208,208
42,2018-01-01T2115,207,204
43,2018-01-01T2145,201,196
44,2018-01-01T2215,194,188
45,2018-01-01T2245,184,174
46,2018-01-01T2315,174,171
47,2018-01-01T2345,162,175
48,2018-01-02T0015,143,175
49,2018-01-02T0045,151,184
50,2018-01-02T0115,163,191
51,2018-01-02T0145,173,198
52,2018-01-02T0215,182,205
53,2018-01-02T0245,191,214
54,2018-01-02T0315,203,227
55,2018-01-02T0345,210,230
56,2018-01-02T0415,217,240
57,2018-01-02T0445,225,244
58,2018-01-02T0515,244,246
59,2018-01-02T0545,258,243
60,2018-01-02T0615,285,246
61,2018-01-02T0645,306,253
62,2018-01-02T0715,318,262
63,2018-01-02T0745,332,269
64,2018-01-02T0815,331,276
65,2018-01-02T0845,334,276
66,2018-01-02T0915,332,272
67,2018-01-02T0945,330,274
68,2018-01-02T1015,324,271
69,2018-01-02T1045,320,275
70,2018-01-02T1115,316,280
71,2018-01-02T1145,312,274
72,2018-01-02T1215,309,268
73,2018-01-02T1245,306,267
74,2018-01-02T1315,295,269
75,2018-01-02T1345,292,268
76,2018-01-02T1415,289,262
77,2018-01-02T1445,292,259
78,2018-01-02T1515,293,263
79,2018-01-02T1545,299,274
80,2018-01-02T1615,300,293
81,2018-01-02T1645,309,297
82,2018-01-02T1715,321,294
83,2018-01-02T1745,328,304
84,2018-01-02T1815,333,304
85,2018-01-02T1845,335,305
86,2018-01-02T1915,334,293
87,2018-01-02T1945,328,279
88,2018-01-02T2015,310,258
89,2018-01-02T2045,292,241
90,2018-01-02T2115,271,230
91,2018-01-02T2145,258,220
92,2018-01-02T2215,246,206
93,2018-01-02T2245,225,190
94,2018-01-02T2315,205,188
95,2018-01-02T2345,192,185
96,2018-01-03T0015,180,185
97,2018-01-03T0045,173,180
98,2018-01-03T0115,187,170
99,2018-01-03T0145,183,167
100,2018-01-03T0215,174,170
101,2018-01-03T0245,176,169
102,2018-01-03T0315,178,173
103,2018-01-03T0345,176,180
104,2018-01-03T0415,175,184
105,2018-01-03T0445,181,176
106,2018-01-03T0515,196,180
107,2018-01-03T0545,206,182
108,2018-01-03T0615,228,193
109,2018-01-03T0645,251,211
110,2018-01-03T0715,274,222
111,2018-01-03T0745,293,225
112,2018-01-03T0815,292,228
113,2018-01-03T0845,295,233
114,2018-01-03T0915,292,233
115,2018-01-03T0945,290,231
116,2018-01-03T1015,292,227
117,2018-01-03T1045,287,224
118,2018-01-03T1115,285,223
119,2018-01-03T1145,275,221
120,2018-01-03T1215,266,225
121,2018-01-03T1245,266,225
122,2018-01-03T1315,258,226
123,2018-01-03T1345,259,227
124,2018-01-03T1415,261,230
